initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
BS,1200,Cli,2,1,1200,92.86
BS,1200,Cli,2,2,1200,92.86
BS,1200,Cli,2,3,1200,92.86
BS,1200,Cli,2,4,1200,92.86
BS,1200,Cli,4,0,1200,94.29
BS,1200,Cli,4,1,1200,94.29
BS,1200,Cli,4,2,1200,92.86
BS,1200,Cli,4,3,1200,94.29
BS,1200,Cli,4,4,1200,94.29
BS,1200,Cli,5,0,1200,90.0
BS,1200,Cli,5,1,1200,90.0
BS,1200,Cli,5,2,1200,90.0
BS,1200,Cli,5,3,1200,90.0
BS,1200,Cli,5,4,1200,90.0
BS,1200,Cli,8,1,1200,76.92
BS,1200,Cli,8,2,1200,75.0
BS,1200,Cli,8,3,1200,75.96
BS,1200,Cli,8,4,1200,75.96
BS,1200,Cli,9,0,1200,92.86
BS,1200,Cli,9,1,1200,94.29
BS,1200,Cli,9,2,1200,94.29
BS,1200,Cli,9,3,1200,92.86
BS,1200,Cli,9,4,1200,94.29
BS,1200,Cli,10,0,1200,94.29
BS,1200,Cli,10,1,1200,94.29
BS,1200,Cli,10,2,1200,94.29
BS,1200,Cli,10,3,1200,94.29
BS,1200,Cli,10,4,1200,94.29
BS,1200,Cli,11,0,1200,86.79
BS,1200,Cli,11,1,1200,86.79
BS,1200,Cli,11,2,1200,86.79
BS,1200,Cli,11,3,1200,87.74
BS,1200,Cli,11,4,1200,88.68
BS,1200,Cli,12,0,1200,95.0
BS,1200,Cli,12,1,1200,95.0
BS,1200,Cli,12,2,1200,95.0
BS,1200,Cli,12,3,1200,95.0
BS,1200,Cli,12,4,1200,95.0
BS,1200,Cli,13,0,1200,85.59
BS,1200,Cli,13,1,1200,87.29
BS,1200,Cli,13,2,1200,90.68
BS,1200,Cli,13,3,1200,89.83
BS,1200,Cli,13,4,1200,85.59
BS,1200,Cli,14,0,1200,93.75
BS,1200,Cli,14,1,1200,92.19
BS,1200,Cli,14,2,1200,92.19
BS,1200,Cli,14,3,1200,92.19
BS,1200,Cli,14,4,1200,92.97
BS,1200,Cli,15,0,1200,94.44
BS,1200,Cli,15,1,1200,88.89
BS,1200,Cli,15,2,1200,94.44
BS,1200,Cli,15,3,1200,94.44
BS,1200,Cli,15,4,1200,88.89
BS,1200,Cli,16,0,1200,92.34
BS,1200,Cli,16,1,1200,92.79
BS,1200,Cli,16,2,1200,91.44
BS,1200,Cli,16,3,1200,93.69
BS,1200,Cli,16,4,1200,93.69
BS,1200,Cli,17,0,1200,92.86
BS,1200,Cli,17,1,1200,92.86
BS,1200,Cli,17,2,1200,92.86
BS,1200,Cli,17,3,1200,92.86
BS,1200,Cli,17,4,1200,92.86
BS,1200,Cli,18,0,1200,92.86
BS,1200,Cli,18,1,1200,92.86
BS,1200,Cli,18,2,1200,92.86
BS,1200,Cli,18,3,1200,92.86
BS,1200,Cli,18,4,1200,92.86
BS,1200,Cli,19,0,1200,92.86
BS,1200,Cli,19,1,1200,92.86
BS,1200,Cli,19,2,1200,92.86
BS,1200,Cli,19,3,1200,92.86
BS,1200,Cli,19,4,1200,92.86
BS,1200,Cli,20,0,1200,93.75
BS,1200,Cli,20,1,1200,93.75
BS,1200,Cli,20,2,1200,93.75
BS,1200,Cli,20,3,1200,93.75
BS,1200,Cli,20,4,1200,93.75
BS,1200,Cli,21,0,1200,95.92
BS,1200,Cli,21,1,1200,95.92
BS,1200,Cli,21,2,1200,95.92
BS,1200,Cli,21,3,1200,96.94
BS,1200,Cli,21,4,1200,95.92
BS,1200,Cli,22,0,1200,100.0
BS,1200,Cli,22,1,1200,100.0
BS,1200,Cli,22,2,1200,100.0
BS,1200,Cli,22,3,1200,100.0
BS,1200,Cli,22,4,1200,100.0
BS,1200,Cli,23,1,1200,90.91
BS,1200,Cli,23,2,1200,90.91
BS,1200,Cli,23,3,1200,91.82
BS,1200,Cli,23,4,1200,91.82
BS,1200,Cli,24,0,1200,91.96
BS,1200,Cli,24,1,1200,92.86
BS,1200,Cli,24,2,1200,91.96
BS,1200,Cli,24,3,1200,91.96
BS,1200,Cli,24,4,1200,91.96
BS,1200,Cli,25,0,1200,91.96
BS,1200,Cli,25,1,1200,91.96
BS,1200,Cli,25,2,1200,91.96
BS,1200,Cli,25,3,1200,91.96
BS,1200,Cli,25,4,1200,91.96
BS,1200,Cli,26,0,1200,100.0
BS,1200,Cli,26,1,1200,100.0
BS,1200,Cli,26,2,1200,100.0
BS,1200,Cli,26,3,1200,100.0
BS,1200,Cli,26,4,1200,100.0
BS,1200,Cli,27,0,1200,91.67
BS,1200,Cli,27,1,1200,91.67
BS,1200,Cli,27,2,1200,91.67
BS,1200,Cli,27,3,1200,91.67
BS,1200,Cli,27,4,1200,91.67
BS,1200,Cli,28,0,1200,89.71
BS,1200,Cli,28,1,1200,91.18
BS,1200,Cli,28,2,1200,89.71
BS,1200,Cli,28,3,1200,91.18
BS,1200,Cli,28,4,1200,91.18
BS,1200,Cli,29,0,1200,85.71
BS,1200,Cli,29,1,1200,85.71
BS,1200,Cli,29,2,1200,85.71
BS,1200,Cli,29,3,1200,85.71
BS,1200,Cli,29,4,1200,85.71
BS,1200,Cli,30,0,1200,70.94
BS,1200,Cli,30,1,1200,70.51
BS,1200,Cli,30,2,1200,69.66
BS,1200,Cli,30,3,1200,68.8
BS,1200,Cli,30,4,1200,61.97
BS,1200,Cli,31,0,1200,87.74
BS,1200,Cli,31,1,1200,87.74
BS,1200,Cli,31,2,1200,87.74
BS,1200,Cli,31,3,1200,87.74
BS,1200,Cli,31,4,1200,87.74
BS,1200,Cli,32,0,1200,92.98
BS,1200,Cli,32,1,1200,92.98
BS,1200,Cli,32,2,1200,92.98
BS,1200,Cli,32,3,1200,92.98
BS,1200,Cli,32,4,1200,92.98
BS,1200,Cli,33,0,1200,93.22
BS,1200,Cli,33,1,1200,93.22
BS,1200,Cli,33,2,1200,93.22
BS,1200,Cli,33,3,1200,94.07
BS,1200,Cli,33,4,1200,93.22
BS,1200,Cli,34,0,1200,83.7
BS,1200,Cli,34,1,1200,83.7
BS,1200,Cli,34,2,1200,81.52
BS,1200,Cli,34,3,1200,82.61
BS,1200,Cli,34,4,1200,82.61
BS,1200,Cli,35,0,1200,100.0
BS,1200,Cli,35,1,1200,100.0
BS,1200,Cli,35,2,1200,100.0
BS,1200,Cli,35,3,1200,100.0
BS,1200,Cli,35,4,1200,100.0
BS,1200,Cli,36,0,1200,94.44
BS,1200,Cli,36,1,1200,94.44
BS,1200,Cli,36,2,1200,94.44
BS,1200,Cli,36,3,1200,94.44
BS,1200,Cli,36,4,1200,94.44
BS,1200,Cli,37,0,1200,68.35
BS,1200,Cli,37,1,1200,67.09
BS,1200,Cli,37,2,1200,68.35
BS,1200,Cli,37,3,1200,66.46
BS,1200,Cli,37,4,1200,65.82
BS,1200,Cli,38,0,1200,68.29
BS,1200,Cli,38,1,1200,68.9
BS,1200,Cli,38,2,1200,68.9
BS,1200,Cli,38,3,1200,68.9
BS,1200,Cli,38,4,1200,68.9
BS,1200,Cli,39,0,1200,95.0
BS,1200,Cli,39,1,1200,95.0
BS,1200,Cli,39,2,1200,95.0
BS,1200,Cli,39,3,1200,95.0
BS,1200,Cli,39,4,1200,95.0
BS,1200,Cli,40,0,1200,100.0
BS,1200,Cli,40,1,1200,100.0
BS,1200,Cli,40,2,1200,100.0
BS,1200,Cli,40,3,1200,100.0
BS,1200,Cli,40,4,1200,100.0
BS,1200,Closure,1,0,1200,68.99
BS,1200,Closure,1,1,1200,70.38
BS,1200,Closure,1,2,1200,66.9
BS,1200,Closure,1,3,1200,67.6
BS,1200,Closure,1,4,1200,70.03
BS,1200,Closure,2,0,1200,0.0
BS,1200,Closure,2,1,1200,0.0
BS,1200,Closure,2,2,1200,0.0
BS,1200,Closure,2,3,1200,0.0
BS,1200,Closure,2,4,1200,0.0
BS,1200,Closure,3,0,1200,67.42
BS,1200,Closure,3,1,1200,66.67
BS,1200,Closure,3,2,1200,67.42
BS,1200,Closure,3,3,1200,67.42
BS,1200,Closure,3,4,1200,66.67
BS,1200,Closure,4,0,1200,1.16
BS,1200,Closure,4,1,1200,1.16
BS,1200,Closure,4,2,1200,1.16
BS,1200,Closure,4,3,1200,1.16
BS,1200,Closure,4,4,1200,0.0
BS,1200,Closure,5,0,1200,81.82
BS,1200,Closure,5,1,1200,81.82
BS,1200,Closure,5,2,1200,81.82
BS,1200,Closure,5,3,1200,81.82
BS,1200,Closure,5,4,1200,81.82
BS,1200,Closure,6,0,1200,0.0
BS,1200,Closure,6,1,1200,0.0
BS,1200,Closure,6,2,1200,0.0
BS,1200,Closure,6,3,1200,0.0
BS,1200,Closure,6,4,1200,0.0
